delta,val,tare
200,8270521,270321
705,8271026,270321
683,8271004,270321
668,8270989,270321
577,8270898,270321
605,8270926,270321
630,8270951,270321
553,8270874,270321
543,8270864,270321
569,8270890,270321
886,8271207,270321
872,8271193,270321
775,8271096,270321
562,8270883,270321
387,8270708,270321
586,8270907,270321
603,8270924,270321
624,8270945,270321
587,8270908,270321
780,8271101,270321
910,8271231,270321
821,8271142,270321
812,8271133,270321
639,8270960,270321
593,8270914,270321
691,8271012,270321
683,8271004,270321
734,8271055,270321
779,8271100,270321
750,8271071,270321
738,8271059,270321
709,8271030,270321
713,8271034,270321
730,8271051,270321
637,8270958,270321
686,8271007,270321
796,8271117,270321
760,8271081,270321
814,8271135,270321
709,8271030,270321
563,8270884,270321
628,8270949,270321
613,8270934,270321
620,8270941,270321
599,8270920,270321
618,8270939,270321
556,8270877,270321
470,8270791,270321
771,8271092,270321
624,8270945,270321
598,8270919,270321
405,8270726,270321
286,8270607,270321
596,8270917,270321
620,8270941,270321
622,8270943,270321
598,8270919,270321
552,8270873,270321
308,8270629,270321
475,8270796,270321
700,8271021,270321
694,8271015,270321
483,8270804,270321
584,8270905,270321
617,8270938,270321
712,8271033,270321
677,8270998,270321
696,8271017,270321
557,8270878,270321
445,8270766,270321
174,8270495,270321
588,8270909,270321
828,8271149,270321
743,8271064,270321
556,8270877,270321
716,8271037,270321
707,8271028,270321
665,8270986,270321
842,8271163,270321
766,8271087,270321
725,8271046,270321
636,8270957,270321
947,8271268,270321
988,8271309,270321
758,8271079,270321
668,8270989,270321
802,8271123,270321
712,8271033,270321
683,8271004,270321
658,8270979,270321
717,8271038,270321
645,8270966,270321
576,8270897,270321
658,8270979,270321
662,8270983,270321
612,8270933,270321
631,8270952,270321
574,8270895,270321
633,8270954,270321
662,8270983,270321
658,8270979,270321
696,8271017,270321
642,8270963,270321
624,8270945,270321
580,8270901,270321
548,8270869,270321
579,8270900,270321
561,8270882,270321
669,8270990,270321
656,8270977,270321
665,8270986,270321
691,8271012,270321
621,8270942,270321
647,8270968,270321
713,8271034,270321
681,8271002,270321
603,8270924,270321
626,8270947,270321
687,8271008,270321
674,8270995,270321
602,8270923,270321
594,8270915,270321
661,8270982,270321
616,8270937,270321
571,8270892,270321
726,8271047,270321
741,8271062,270321
813,8271134,270321
698,8271019,270321
609,8270930,270321
671,8270992,270321
698,8271019,270321
614,8270935,270321
261,8270582,270321
389,8270710,270321
670,8270991,270321
642,8270963,270321
551,8270872,270321
600,8270921,270321
427,8270748,270321
598,8270919,270321
662,8270983,270321
539,8270860,270321
581,8270902,270321
459,8270780,270321
328,8270649,270321
848,8271169,270321
796,8271117,270321
845,8271166,270321
680,8271001,270321
699,8271020,270321
786,8271107,270321
802,8271123,270321
753,8271074,270321
836,8271157,270321
1061,8271382,270321
801,8271122,270321
326,8270647,270321
995,8271316,270321
1219,8271540,270321
1304,8271625,270321
1444,8271765,270321
1421,8271742,270321
1167,8271488,270321
1414,8271735,270321
